Words,Similarity
codpiece,0.27143705
prints,0.27112737
chromosome,0.27050403
poultry,0.270353
pheromone,0.26997557
node,0.2699723
liter,0.2699381
astringent,0.26990688
carcinogen,0.2696955
tanning,0.26953432
chapstick,0.2694655
greenery,0.26938844
neck,0.26930958
needles,0.26926684
apricot,0.26926413
commodity,0.26887414
shorts,0.26849693
anchorage,0.26781946
garnets,0.2678128
pepperoni,0.2675633
radiator,0.26722604
barrier,0.2669322
breadbox,0.26676068
extremity,0.26635212
dahlia,0.26623026
topaz,0.26619926
uterus,0.2660192
muffler,0.2659308
dike,0.26527032
mussels,0.26510695
glucose,0.26504079
bladder,0.26483414
peeler,0.26477805
vr,0.26434115
wetsuit,0.2642709
baits,0.26407227
fishhook,0.26378262
binocular,0.26358843
kite,0.2633124
giblets,0.2632705
doorframe,0.26318058
chamomile,0.26262084
flower,0.26252943
cinder,0.26243454
toothpick,0.26157838
macbook,0.2613992
jade,0.26046175
bloomer,0.26005557
nuclei,0.25944704
stair,0.25900656
silver,0.25882488
bandage,0.25856185
taffy,0.25821283
polyp,0.25820482
cigar,0.25814962
beams,0.25791132
bolt,0.2578875
cocaine,0.2576814
banknote,0.25767484
artichoke,0.257575
trousers,0.25752848
houseplant,0.25750977
cutter,0.25746718
lighter,0.25721908
thyme,0.25721505
bourbon,0.25701696
oxcart,0.25669855
sherbet,0.25643647
waterbed,0.2562032
fields,0.2559547
fruit,0.2555336
parts,0.25545636
frankincense,0.25533828
lower,0.25528654
bin,0.2552046
rye,0.25516832
electric,0.25497314
fertilization,0.25476083
goods,0.2546513
distillery,0.25452128
glasses,0.2539271
collard,0.25355914
stain,0.25325018
electrochemist,0.25282493
footprint,0.2524322
bottle,0.252318
shank,0.2522555
sandalwood,0.25196984
railroad,0.2517053
porkpie,0.25151375
blower,0.25131693
scarf,0.25129694
cumin,0.25124738
rum,0.2510133
walkway,0.25066215
pebble,0.25048134
toilette,0.2503085
narcotic,0.24986434
milk,0.24981914
drug,0.24980767
rail,0.24967137
shoelace,0.24966222
trunk,0.24966036
quinoa,0.24910945
vegetation,0.24859634
silverfish,0.24851155
tortellini,0.24839044
arches,0.24833551
beer,0.248273
crown,0.24788122
bayonet,0.24758856
coffee,0.24731618
cup,0.2472167
boardwalk,0.2470646
virgin,0.24669057
origami,0.24642017
beaker,0.2461826
pottery,0.2460271
urine,0.24587752
tablet,0.24520952
feathers,0.24489489
wetland,0.24486738
stapler,0.24457145
housedress,0.24447478
giblet,0.24444182
batwing,0.24413551
clothing,0.24400826
cinema,0.24386899
suckerfish,0.2438136
caterpillar,0.24372275
protector,0.24358205
spacesuit,0.24357481
camcorder,0.24329989
cologne,0.24300508
lantern,0.24255393
wholesaler,0.24250537
festival,0.24249679
bow,0.24202594
borough,0.24178351
flannel,0.24167979
refridgerator,0.24124248
welder,0.2410113
spareribs,0.24083324
crust,0.24080263
cushion,0.24049518
hormone,0.24038343
tub,0.2402603
schoolbag,0.24018854
riverbank,0.23988356
suspenders,0.2397662
projectile,0.2397636
sneakers,0.23965281
component,0.23954341
electronic,0.23937127
amplifier,0.23933026
trees,0.23932771
kerchief,0.23901644
cream,0.23901533
handset,0.23883569
pier,0.23874603
supplies,0.2387113
dishwasher,0.23863368
hardcopy,0.23850843
nicotine,0.23850246
stuffing,0.23841386
anchor,0.23829283
blanket,0.23825622
pump,0.23824827
legs,0.23821652
wineglass,0.23803207
drainer,0.23799117
pus,0.23774937
glowworm,0.23769265
codeine,0.2373146
trash,0.23718713
whiskey,0.2369858
snowsuit,0.23693827
petal,0.2368311
excavator,0.23676279
straightedge,0.23673956
rocks,0.23667225
toliet,0.23659736
facility,0.23653574
neckerchief,0.2365096
shell,0.23640484
wormwood,0.23637357
brazier,0.23630388
handsaw,0.23625965
juice,0.23603734
flask,0.23600748
oceanfront,0.23545042
firework,0.23533021
windbreaker,0.23510148
paintball,0.23452051
shipyard,0.23434971
boots,0.23386605
roadwork,0.23376064
guardrail,0.23353067
launderer,0.23346329
calipers,0.23327492
bullring,0.23316523
eggnog,0.23312333
quilter,0.23305528
shelf,0.23272142
gourd,0.23267537
circuitry,0.23238645
boysenberry,0.23214483
earplugs,0.23198944
movie,0.23194827
tapestry,0.23143466
eyeliner,0.23132312
mustard,0.23098476
termite,0.23081195
longneck,0.23080176
bonsai,0.23066972
cannabis,0.23011933
cavern,0.23004177
shin,0.22979052
glitter,0.22962573
hardcover,0.22951885
pinwheel,0.2294778
silo,0.2293753
chimney,0.2291707
substation,0.22913836
churro,0.22856316
eggs,0.22853197
oven,0.22843269
crayon,0.22818704
scissors,0.22813794
hydroponics,0.22801553
process,0.22793119
griddle,0.22790164
posion,0.22778209
tylenol,0.22776288
glucometer,0.22734101
hooch,0.22703688
slacks,0.22700217
excavation,0.22695518
divider,0.2268015
terminal,0.22660094
snakes,0.22658813
decongestant,0.22653978
carafe,0.22627419
gin,0.22612883
knickers,0.22600716
hickey,0.22568768
pillar,0.22556724
ganja,0.22490387
nebula,0.22487327
elm,0.22460108
toe,0.22413363
carrots,0.224055
coleslaw,0.22375299
pigs,0.22328155
stirrup,0.22292201
gazebo,0.22291338
tipper,0.2227065
vitamins,0.22248536
estuary,0.22230175
brickwork,0.22204494
camelback,0.22194947
cluster,0.22192109
flowers,0.22187728
quarry,0.22181904
jackknife,0.2217945
sawmill,0.2217243
snowboard,0.22159918
baldhead,0.2214528
largemouth,0.22093368
outpatient,0.22089651
clutch,0.22075915
curve,0.22072418
bark,0.22040442
shawl,0.22028723
barricade,0.22015865
syringe,0.21977027
hiphop,0.21958944
soda,0.21949404
bicycle,0.21934111
maraschino,0.21907318
stationery,0.21898587
primer,0.2189185
case,0.21890332
highlighter,0.21852946
refrigerator,0.21843448
scampi,0.21823668
televangelism,0.21812694
celing,0.2180077
pencil,0.2179375
wasp,0.2176955
bleachers,0.21759461
variety,0.21747272
roses,0.21743184
transportation,0.21743168
rig,0.21740766
inventor,0.21739224
soccerball,0.21735416
heavy,0.21732926
egg,0.21675546
knocker,0.21673444
solver,0.21638529
clapper,0.21595448
bones,0.21585728
multiprocessor,0.21573037
mass,0.21568555
detonator,0.21560548
lamb,0.2153946
dam,0.21537079
nerve,0.21533702
eggbeater,0.21533395
cauldron,0.2152992
sauerkraut,0.21528015
tendonitis,0.21515168
gold,0.2151461
mermaid,0.2148205
balloon,0.21481183
grater,0.21477032
lizard,0.21463406
dolphin,0.21462977
amaretto,0.21439736
windsock,0.2143751
stirrer,0.21435249
hallucinogen,0.21430555
robe,0.21420152
sycamore,0.21416567
gurney,0.21370839
roach,0.21365109
notebook,0.21314144
poetess,0.21312599
slush,0.21300921
earring,0.21273644
flatfoot,0.21258299
propeller,0.21250613
cast,0.2123135
blender,0.21224897
turtleneck,0.21221595
simpsons,0.2122153
horticulturalist,0.21180475
chopstick,0.21177016
calf,0.21162479
swimsuit,0.21157168
stewpot,0.21112947
arachnids,0.21110462
harness,0.21101694
prong,0.2107419
alcohol,0.21056326
bifocals,0.21040738
parsnip,0.21022157
shackle,0.21013229
university,0.20968765
mutton,0.20965138
tailcoat,0.20960069
bassinet,0.20959681
pillow,0.20949273
levers,0.2093642
eyelash,0.20936394
anchovy,0.20928577
duplex,0.20903772
turtle,0.20880671
insides,0.20869541
claymore,0.2086495
patch,0.2086221
chardonnay,0.20856479
gunk,0.20856409
froth,0.2084985
stocks,0.20829771
print,0.20808136
type,0.20788981
chair,0.20770265
lamppost,0.20757914
streetlamp,0.20755185
magnetometer,0.20723341
auto,0.20696123
streamers,0.20693766
corkboard,0.20676598
expansion,0.20649533
road,0.20644678
mullet,0.20644566
charger,0.20644398
halfpenny,0.20643453
pancreas,0.20641048
underwriter,0.2064089
tractor,0.20640524
skates,0.2063287
pants,0.20625634
field,0.20603658
apparatus,0.20593102
embankment,0.2057288
packet,0.20564978
confectioner,0.20545422
lobster,0.20529151
maggot,0.20528492
gymnasium,0.20518768
shoulder,0.20517825
plank,0.20516281
fizz,0.20513831
rate,0.20454498
digital,0.20450416
tripe,0.20428598
nest,0.2042508
firearms,0.2041146
archway,0.20408045
football,0.2040359
sangria,0.20367046
elementary,0.20361026
sundeck,0.20355354
oscilloscope,0.20326807
temperature,0.20319767
muskrat,0.20316191
roofline,0.20296615
ammunition,0.202955
mayor,0.20292981
tv,0.20282473
orbiter,0.20269464
groin,0.20259483
tollhouse,0.20244575
whittler,0.20234475
rainforest,0.20225403
chloroform,0.20192938
crutch,0.20180926
eyedropper,0.20179185
warehouse,0.20172796
vanilla,0.2015731
framework,0.20148705
women,0.20145617
alcoholic,0.20143494
earthworm,0.20135263
neighborhood,0.20112239
fumigator,0.20088232
wallpaper,0.2008473
snack,0.20067541
clip,0.2006401
actor,0.20057473
bundle,0.20038956
float,0.20035967
platform,0.19973525
snake,0.19951318
rink,0.19943398
shantytown,0.19928767
clothes,0.19914506
mistletoe,0.19913337
bottleneck,0.19900183
sunfish,0.19891767
toad,0.1988798
arms,0.1988557
porkchops,0.19884667
crab,0.19880004
sandwich,0.1987069
pharmacy,0.19864172
catfish,0.19863842
wristband,0.19857258
merchandiser,0.19845599
truckload,0.19817583
flavor,0.1981116
doll,0.19793925
contraception,0.19787273
splinter,0.19767675
bucket,0.19755118
highchair,0.19752838
fatality,0.19744967
floodplain,0.197432
blackfish,0.19727798
plaza,0.19715913
tepee,0.19704328
tidewater,0.19692387
flute,0.19681093
stuff,0.19678712
box,0.19673648
clarinetist,0.19650836
pompom,0.19642946
creek,0.19636846
oceanographer,0.1963475
icepack,0.1963266
rock,0.19605458
spacecraft,0.19603536
landmine,0.19599712
driller,0.19585337
goalkeeper,0.19581448
makeup,0.19572121
pond,0.19569187
range,0.19566797
ebola,0.19547707
toilet,0.19546269
mouthpiece,0.1954197
droppings,0.19536835
foot,0.19534686
under,0.19522433
anvil,0.19509472
porch,0.1948979
sidearm,0.19489169
penguin,0.19472209
extinguisher,0.1946121
harpoon,0.19446856
arm,0.19443136
pendant,0.19426289
roaster,0.19411539
sauce,0.1937693
theater,0.193769
garden,0.19353041
firewood,0.19317345
steamer,0.1930756
rivers,0.19287783
mast,0.19258015
lifter,0.1925341
canon,0.19243537
joker,0.19229081
respondent,0.19213268
traps,0.19211517
shifter,0.19196069
submarine,0.19195288
locomotive,0.19184774
runway,0.19183567
potty,0.19177498
savannah,0.19153084
shutter,0.1915282
compasses,0.19146225
gashes,0.19146085
microprocessor,0.19141491
truffle,0.19130583
hornpipe,0.19124137
hike,0.19113138
instrument,0.19096982
kindling,0.19075973
epidural,0.19071424
dominoes,0.19053437
template,0.19044249
kiwi,0.19015814
summer,0.19008684
scripts,0.18993789
wienie,0.18988988
photoshop,0.18985713
emerald,0.1897712
anklet,0.18970074
pee,0.18968731
rouge,0.18960653
transmission,0.18954785
seamstress,0.18952596
hunks,0.18943267
stockyard,0.18877256
beam,0.18871334
needle,0.18848297
sheep,0.18847702
lender,0.18840697
mojito,0.18802275
matches,0.18788335
animal,0.18771324
hornet,0.18765375
swimming,0.18758038
baseball,0.18747075
body,0.18733475
comet,0.18722126
london,0.18713322
filet,0.18712446
gimlet,0.18708874
lab,0.1870592
venom,0.18684012
weather,0.18676458
suitcase,0.18672733
gyroscope,0.186537
gills,0.18651885
firewater,0.18649596
turntable,0.1864624
banner,0.18619063
institute,0.18614258
margarita,0.18592581
obesity,0.1857423
arborist,0.1856357
skillet,0.18561305
treadmill,0.18560764
daffodil,0.18560489
looser,0.18559633
alligator,0.1853718
diagram,0.18534863
pentagon,0.1853372
stylus,0.18501638
dummy,0.18500064
forest,0.1848714
park,0.18485194
paddle,0.18484892
abacus,0.18452854
agriculture,0.18450786
bats,0.18441072
lobe,0.18440318
bait,0.18422733
canoe,0.18421374
chameleon,0.18420061
periods,0.18402672
firetrap,0.18399063
carwash,0.18386514
giraffe,0.18367569
gender,0.18367125
uniform,0.1836311
stove,0.18360892
shed,0.18359746
storybook,0.1835082
northerner,0.18346857
headwind,0.18345563
axes,0.1834534
percussion,0.18341458
physiologist,0.18330762
laundrywoman,0.18310256
playhouse,0.18302716
sales,0.18290058
goalie,0.18286268
classical,0.18273701
butter,0.18254118
petition,0.18248497
meed,0.18245521
soprano,0.18217748
fascism,0.18210283
toke,0.1819973
rake,0.1819857
aviation,0.18192482
wheelchair,0.18187816
icebox,0.18174379
mummy,0.18173425
blinker,0.18152985
lights,0.18139508
copperhead,0.18136567
sailfish,0.18126407
nuke,0.18124054
saucer,0.18115695
toxicologist,0.18105555
weight,0.18098229
groceries,0.1808839
autobiographer,0.18087314
cancer,0.18082221
bear,0.1807355
subspecies,0.18073206
confetti,0.18069895
bee,0.18068105
aquarium,0.18066017
wigwam,0.18065627
homebrew,0.18064456
carpetbag,0.18051332
handbag,0.18050565
virtue,0.18042766
pajamas,0.1803689
ballot,0.18036284
backdrop,0.18034033
walrus,0.18019077
scooter,0.180046
pageboy,0.17998642
blowgun,0.17991258
catacomb,0.17970113
immigrants,0.17968905
league,0.17958583
trout,0.17951697
saddle,0.17938077
hamstring,0.17929032
pincer,0.17926498
stomach,0.17913283
firearm,0.1790116
period,0.17899315
machine,0.17894815
poodle,0.17869677
kettledrum,0.17865136
privates,0.17851469
fingerprint,0.17846866
shakers,0.1784448
monorail,0.17841831
imbecile,0.17838207
fauna,0.17828777
forefinger,0.17819256
society,0.17808552
oboe,0.17788681
ladybug,0.1777868
spade,0.17740835
mainland,0.17731102
statute,0.1772339
medicine,0.17700945
laborer,0.1769998
buyer,0.1769415
spaceman,0.17691639
neat,0.1766735
meatloaf,0.1765969
saucepan,0.17659347
language,0.17658219
wings,0.17652702
plug,0.17644295
worm,0.17627229
porcupine,0.1762678
chairman,0.17611675
goose,0.17604446
antennae,0.17601576
livestock,0.17589258
violence,0.17586711
smoke,0.1758309
squash,0.1758117
congestion,0.17574844
dinghy,0.1756325
ugliness,0.17561458
year,0.17549165
men,0.17535062
through,0.17534433
stars,0.17501701
warmonger,0.17498662
calender,0.17498638
salmon,0.17488119
auditorium,0.17473727
staircase,0.17454267
adult,0.17425448
workbench,0.17407729
flag,0.17402677
narc,0.17385066
icing,0.17382765
dragonfly,0.17378154
anteater,0.17370912
yellows,0.17369951
kazoo,0.1736682
minibus,0.17357093
dumpster,0.17342465
pain,0.17325722
carp,0.17315489
pileup,0.17314866
cartoon,0.17295633
performer,0.17293099
school,0.17285572
bicep,0.1728383
mount,0.17277904
folksong,0.17272758
scrapbook,0.17252187
squeaker,0.17242275
fissure,0.1723775
atrium,0.17237216
defendant,0.1723635
mousetrap,0.17203294
ether,0.17193377
transmitter,0.17185345
album,0.17182793
press,0.17182034
atmosphere,0.17161635
tax,0.17149132
laptop,0.17147358
triceratops,0.17141068
condo,0.17136236
masher,0.1710894
diskette,0.17107187
responder,0.17105159
doorstop,0.1707392
fangs,0.17072143
buckskin,0.17070511
dipper,0.17043073
robot,0.1701579
apron,0.17014718
band,0.17014189
salamander,0.17003879
transvestite,0.16975844
idea,0.16945712
repository,0.16931975
typhoon,0.16927789
scanner,0.16918673
veterinarians,0.16911568
ringmaster,0.16905141
stepladder,0.16886902
trap,0.16875863
stem,0.16871674
heartthrob,0.16855963
comedian,0.16853411
cent,0.1685201
principal,0.16850558
primates,0.16840371
catapult,0.16835329
piglet,0.16793852
fireplace,0.16782963
backstreet,0.1675465
residency,0.16751961
racehorse,0.1674822
bazaar,0.16723081
peacekeeper,0.1672013
million,0.16701438
revolver,0.16698012
eraser,0.1669375
depositor,0.16687249
elevator,0.1667994
mall,0.16668396
waiver,0.16662356
depot,0.16657916
spire,0.1665746
basketball,0.1664684
casket,0.16606708
violin,0.1660151
binky,0.1660083
erotica,0.16597673
avacado,0.16587646
simulation,0.16578515
halloween,0.1653483
ammo,0.16524594
library,0.16514498
web,0.16513826
archdeacon,0.1651117
honeybee,0.16504298
imagination,0.16492599
suburb,0.1648297
breathe,0.16469662
marketplace,0.16443071
leash,0.16414402
boob,0.16405568
game,0.16383567
observatory,0.16373509
racket,0.16325003
crayfish,0.16323838
hailstone,0.16309074
dwelling,0.16296199
birthstone,0.16295916
meaning,0.16289464
winery,0.16277164
workshop,0.16275771
slicer,0.16274048
crevasse,0.16273744
gravy,0.16271605
replica,0.16258846
author,0.16253255
lead,0.1625296
pickax,0.16231269
tip,0.16229272
soundtrack,0.16227944
socialite,0.16216531
trainload,0.16177216
goatee,0.16164552
skyline,0.16160616
quintet,0.16148897
acupuncture,0.16126812
playpen,0.16119206
gardner,0.16104671
kids,0.1610141
arrestee,0.16090615
meetinghouse,0.16090512
ladybird,0.16084848
chanter,0.16084765
critter,0.16084552
chairwoman,0.16082984
mailbox,0.16081071
spoon,0.16073959
dorm,0.16059135
unicycle,0.16048744
boot,0.16030803
bushes,0.16014911
wheel,0.1600951
missile,0.15992345
population,0.15980685
sultan,0.15959091
marker,0.15951118
education,0.15944803
hoodie,0.1593767
gent,0.15937312
creator,0.1593206
vegetarian,0.15909778
bullfighter,0.15904377
law,0.15886562
fries,0.15865088
crotch,0.15859322
rubdown,0.1585108
recliner,0.15851046
ambassador,0.15850516
edit,0.15837513
gibbon,0.1581242
boulder,0.1579895
migrant,0.15789117
photocopier,0.15784715
closet,0.15777825
ribcage,0.15776883
artist,0.15773977
pedicurist,0.1575935
surgeon,0.15732707
plumage,0.15731086
pigeonhole,0.15722042
putt,0.15716732
gymnast,0.15708356
sax,0.15695052
thermostat,0.15693767
mare,0.15693708
illustrator,0.15687956
immigrant,0.15685739
habitat,0.1567754
preacher,0.15670271
tow,0.15653753
stand,0.1563946
patient,0.15615974
fridge,0.15612471
obstruction,0.15596466
nachos,0.15590468
passport,0.15590271
rhino,0.15560336
gumbo,0.15550737
monsignor,0.15541641
beard,0.15539306
bosom,0.15489799
junk,0.15486729
wrecker,0.15478173
percussionist,0.15469362
groundsman,0.15468016
trident,0.15451837
blood,0.15445474
brass,0.15429911
holidays,0.15421605
snot,0.15418887
heron,0.15412518
offer,0.15410672
poet,0.15399897
freshman,0.15398824
grille,0.15398249
courier,0.15387864
woodwork,0.15382443
pediatrician,0.15360764
bedpan,0.15359932
one,0.15357073
gorilla,0.15334769
flame,0.15331471
african,0.15325059
beginner,0.15324982
gate,0.15324058
hairpin,0.15321562
foreigner,0.15320224
bass,0.15308645
connect,0.1530781
airbase,0.15304923
pedestal,0.15303113
hurdler,0.1529924
hotdog,0.15294863
stripper,0.1528827
orchestra,0.15286286
function,0.15283632
kiss,0.15282372
housetops,0.15265332
portion,0.15229087
sushi,0.15218231
pot,0.15217344
motorbike,0.15191984
congressman,0.15182534
slobber,0.15180041
cavewoman,0.15164018
ship,0.15154621
ladle,0.15154427
airplane,0.15148805
gameboy,0.15147287
bog,0.15139446
screener,0.15137458
icepick,0.15121466
satellite,0.15114856
rollercoaster,0.15114102
gnat,0.15109286
angler,0.15096095
soloist,0.15080898
icebreaker,0.15078665
tool,0.15069409
titanic,0.15063941
moth,0.15047157
dice,0.15039396
raft,0.15023448
verdict,0.15017802
folk,0.15016752
minutes,0.1500803
blemish,0.14994515
ring,0.14988035
pastrami,0.14981316
dinosaurs,0.14961654
tusk,0.14961492
diploma,0.14958382
department,0.14958309
billionaire,0.14954223
teem,0.14940102
earwig,0.14925398
bitch,0.14904787
magic,0.1490198
boozer,0.14899492
homebody,0.14889392
comb,0.1488934
stardust,0.14887773
workhorse,0.14884892
envelope,0.14883986
villa,0.14880103
battleground,0.14848025
oarsman,0.14845054
gust,0.14843741
birthmark,0.14822538
writer,0.14805001
cashbook,0.14777601
cat,0.14772226
postman,0.14763063
artwork,0.14756691
alumni,0.14756052
bedbug,0.14755571
earlobe,0.14753594
marathon,0.14746878
scenery,0.14745875
brush,0.14730966
napkin,0.14726302
channel,0.14720023
horsewoman,0.14714104
nymphomaniac,0.14711225
dame,0.14711088
internet,0.14693671
trapdoor,0.14693281
receipt,0.14681087
relationship,0.14676706
boat,0.14675517
flank,0.14672926
car,0.14645867
daybook,0.1463057
tag,0.14629081
locket,0.14614247
constable,0.14612664
congress,0.14609548
variation,0.14608917
rubble,0.14599802
schoolgirl,0.14578311
path,0.14573373
colonist,0.14524744
sonar,0.14523044
prisoner,0.14510728
automatic,0.14502545
walking,0.14494036
coding,0.14460786
quarterback,0.14460444
crawler,0.14444242
top,0.14443071
harbor,0.1444225
hamburger,0.14441846
gumshoe,0.14426827
tigers,0.14400853
oilman,0.14377862
center,0.14376532
cardinal,0.14369714
row,0.14354558
masterwork,0.14350179
balloonist,0.1434105
puritan,0.14332967
grandmom,0.14331229
conflict,0.14330922
snowmobile,0.14321229
malamute,0.14318202
church,0.1431721
dj,0.14308335
importance,0.14303705
cock,0.14302908
serpent,0.14302218
warplane,0.14297481
racetrack,0.14279076
palette,0.1427791
cottage,0.14257707
renter,0.1425587
midwife,0.14253117
dancer,0.14243317
them,0.1424274
story,0.14241204
packhorse,0.1423552
hospice,0.1421766
chowder,0.14211547
scavenger,0.14210652
monarch,0.1421027
writings,0.14208312
mark,0.14203005
irish,0.14169359
forehead,0.14152206
momma,0.14126949
horse,0.14107846
backyard,0.14102697
deli,0.1409876
ecosystem,0.14093769
temple,0.14093176
sleeper,0.14090317
gangster,0.14057794
guacamole,0.14050065
fatigue,0.14049113
statesman,0.14029664
destroyer,0.14024429
medalist,0.14021716
centerpiece,0.13992184
pigpen,0.13988501
laugh,0.1398788
debutante,0.13980846
darkness,0.13974465
exhibit,0.13962151
think,0.1394756
lady,0.13943703
record,0.13942644
bed,0.1393987
desert,0.13932121
pan,0.13930134
jog,0.13908194
lieutenant,0.13896531
panther,0.13889658
jailbait,0.13888837
racer,0.13870724
sharks,0.13868403
helicoptor,0.13867138
stockade,0.13847992
massage,0.13847776
gatehouse,0.13839395
snowstorm,0.13832071
dove,0.13804373
exorcist,0.13799325
hermit,0.13792704
owl,0.1377789
hook,0.13767894
synthesizer,0.13764845
donkey,0.13761325
tutu,0.13760962
fingertip,0.13760392
woodpile,0.13760379
cerebrum,0.13759139
word,0.13757941
cameo,0.13755113
foxhound,0.13751306
midterm,0.13735907
banker,0.13708949
baroness,0.13688299
blackboard,0.13666569
trader,0.13646719
globe,0.13640861
breeder,0.1363739
bench,0.13635404
handclap,0.13633223
wrestler,0.13628596
horseman,0.13628276
horn,0.13602296
daggers,0.1359857
pioneer,0.13594952
participant,0.135704
livery,0.13553749
craft,0.13547792
option,0.13541374
roadside,0.1354091
fireman,0.13539119
entertainer,0.1353332
package,0.13531014
fork,0.13530546
stairs,0.13522854
living,0.13517983
girl,0.13517645
dialer,0.13516812
postponement,0.13515852
informer,0.13513881
skyrocket,0.13512085
purse,0.13508666
bungler,0.13502274
urn,0.1349752
goat,0.1347045
kiosk,0.13461313
thumbnail,0.1345342
skydiver,0.13452508
turnip,0.1345176
drive,0.1345072
programming,0.1345064
tuxedo,0.1342816
hawk,0.13424616
